
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.45348237850203      eV
 Composition: x =   0.12500000000292860     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
 10     46       48           -68563.24488      -61058.71006    0.631686E-06    0.131601E-07
 10     47      192           -68563.27231      -61058.73748    0.729873E-05    0.380142E-07
 10     48      192           -68563.25558      -61058.72075    0.382117E-05    0.199019E-07
 10     49       48           -68563.21547      -61058.68064    0.202466E-06    0.421804E-08
 10     50       48           -68563.26774      -61058.73291    0.152920E-05    0.318584E-07
 10     51      192           -68563.29441      -61058.75959    0.171644E-04    0.893978E-07
 10     52      192           -68563.30566      -61058.77083    0.265156E-04    0.138102E-06
 10     53       24           -68563.22534      -61058.69052    0.148313E-06    0.617973E-08
 10     54       96           -68563.30286      -61058.76804    0.118988E-04    0.123945E-06
 10     55       96           -68563.21527      -61058.68045    0.401904E-06    0.418650E-08
 10     56       32           -68563.24851      -61058.71369    0.484646E-06    0.151452E-07
 10     57       96           -68563.26640      -61058.73158    0.290437E-05    0.302538E-07
 10     58       48           -68563.30263      -61058.76781    0.589736E-05    0.122862E-06
 10     59       96           -68563.30455      -61058.76973    0.127041E-04    0.132334E-06
 10     60       96           -68563.30780      -61058.77298    0.144064E-04    0.150067E-06
 10     61       16           -68563.23690      -61058.70208    0.154622E-06    0.966389E-08
 10     62       96           -68563.29162      -61058.75679    0.770302E-05    0.802398E-07
 10     63       48           -68563.30391      -61058.76909    0.619623E-05    0.129088E-06
 10     64       96           -68563.29514      -61058.76032    0.882833E-05    0.919617E-07
 10     65       48           -68563.32761      -61058.79279    0.154972E-04    0.322858E-06
 11      1       96           -69313.62809      -61058.63979    0.833794E-07    0.868535E-09
 11      2       48           -69313.62715      -61058.63885    0.401979E-07    0.837457E-09
 11      3       96           -69313.65893      -61058.67062    0.274840E-06    0.286292E-08
 11      4      192           -69313.68541      -61058.69710    0.153093E-05    0.797358E-08
 11      5       96           -69313.62681      -61058.63851    0.793516E-07    0.826579E-09
 11      6      192           -69313.65819      -61058.66989    0.534231E-06    0.278245E-08
 11      7      192           -69313.65744      -61058.66914    0.518955E-06    0.270289E-08
 11      8      192           -69313.65830      -61058.66999    0.536364E-06    0.279356E-08
 11      9      192           -69313.67591      -61058.68760    0.105993E-05    0.552047E-08
 11     10      192           -69313.65793      -61058.66963    0.528865E-06    0.275450E-08
 11     11       96           -69313.63928      -61058.65098    0.128531E-06    0.133887E-08
 11     12       96           -69313.70426      -61058.71595    0.158705E-05    0.165318E-07
 11     13      192           -69313.70946      -61058.72115    0.388099E-05    0.202135E-07
 11     14       96           -69313.68995      -61058.70164    0.912381E-06    0.950397E-08
 11     15       96           -69313.70310      -61058.71480    0.151765E-05    0.158088E-07
 11     16      192           -69313.66833      -61058.68002    0.790568E-06    0.411754E-08
 11     17      192           -69313.70143      -61058.71313    0.284508E-05    0.148181E-07
 11     18       48           -69313.70704      -61058.71873    0.883442E-06    0.184050E-07
 11     19      192           -69313.71851      -61058.73020    0.550798E-05    0.286874E-07
 11     20       48           -69313.64847      -61058.66017    0.916988E-07    0.191039E-08
 11     21       96           -69313.66195      -61058.67364    0.308850E-06    0.321718E-08
 11     22       48           -69313.62968      -61058.64137    0.443274E-07    0.923488E-09
