
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.45348237850203      eV
 Composition: x =   0.12500000000292860     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  6     56       96           -65561.57904      -61058.29102    0.173644E-03    0.180880E-05
  6     57       16           -65561.54741      -61058.25939    0.190059E-04    0.118787E-05
  6     58       48           -65561.51364      -61058.22562    0.363963E-04    0.758257E-06
  6     59       48           -65561.55833      -61058.27031    0.659224E-04    0.137338E-05
  6     60       96           -65561.60610      -61058.31808    0.248802E-03    0.259168E-05
  6     61      192           -65561.59742      -61058.30940    0.443355E-03    0.230914E-05
  6     62       96           -65561.62828      -61058.34026    0.334129E-03    0.348051E-05
  6     63       96           -65561.60348      -61058.31546    0.240276E-03    0.250288E-05
  6     64       48           -65561.61413      -61058.32611    0.138416E-03    0.288366E-05
  6     65       48           -65561.59121      -61058.30319    0.102057E-03    0.212618E-05
  7      1      192           -66311.94451      -61058.10849    0.306842E-04    0.159813E-06
  7      2       48           -66311.97842      -61058.14240    0.120402E-04    0.250837E-06
  7      3       96           -66311.94963      -61058.11361    0.164237E-04    0.171080E-06
  7      4       96           -66311.91560      -61058.07958    0.104471E-04    0.108824E-06
  7      5       48           -66311.91094      -61058.07491    0.490940E-05    0.102279E-06
  7      6       96           -66311.93192      -61058.09590    0.129780E-04    0.135188E-06
  7      7       96           -66311.96458      -61058.12856    0.200336E-04    0.208683E-06
  7      8      192           -66311.94323      -61058.10721    0.301673E-04    0.157121E-06
  7      9      192           -66311.96152      -61058.12550    0.384691E-04    0.200360E-06
  7     10      192           -66311.97454      -61058.13852    0.457372E-04    0.238215E-06
  7     11      192           -66311.98827      -61058.15225    0.548964E-04    0.285919E-06
  7     12      192           -66311.96920      -61058.13318    0.426061E-04    0.221907E-06
  7     13      192           -66311.97897      -61058.14295    0.485121E-04    0.252667E-06
  7     14      192           -66311.95455      -61058.11852    0.350627E-04    0.182618E-06
  7     15      192           -66311.94879      -61058.11277    0.324801E-04    0.169167E-06
  7     16      192           -66311.97501      -61058.13899    0.460245E-04    0.239711E-06
  7     17      192           -66311.97941      -61058.14338    0.487953E-04    0.254142E-06
  7     18      192           -66311.97931      -61058.14328    0.487286E-04    0.253795E-06
  7     19       96           -66311.98554      -61058.14952    0.264707E-04    0.275736E-06
  7     20       96           -66311.97225      -61058.13623    0.221845E-04    0.231088E-06
  7     21      192           -66311.93300      -61058.09698    0.263307E-04    0.137139E-06
  7     22      192           -66311.95195      -61058.11592    0.338730E-04    0.176422E-06
  7     23       96           -66311.91308      -61058.07706    0.101028E-04    0.105237E-06
  7     24       96           -66311.92432      -61058.08830    0.117310E-04    0.122198E-06
  7     25      192           -66311.93376      -61058.09774    0.266002E-04    0.138542E-06
  7     26      192           -66311.94964      -61058.11361    0.328478E-04    0.171082E-06
  7     27      192           -66311.95674      -61058.12072    0.361008E-04    0.188025E-06
  7     28      192           -66311.94869      -61058.11267    0.324382E-04    0.168949E-06
  7     29       96           -66311.96376      -61058.12774    0.198167E-04    0.206424E-06
  7     30      192           -66311.92504      -61058.08902    0.236870E-04    0.123370E-06
  7     31       96           -66311.92608      -61058.09005    0.120079E-04    0.125082E-06
  7     32      192           -66311.94219      -61058.10617    0.297535E-04    0.154966E-06
  7     33      192           -66311.95534      -61058.11932    0.354352E-04    0.184559E-06
  7     34      192           -66311.93241      -61058.09639    0.261250E-04    0.136068E-06
  7     35      192           -66311.94584      -61058.10982    0.312315E-04    0.162664E-06
  7     36      192           -66311.96232      -61058.12629    0.388783E-04    0.202491E-06
  7     37      192           -66311.94051      -61058.10449    0.290961E-04    0.151542E-06
  7     38       96           -66311.94944      -61058.11342    0.163818E-04    0.170644E-06
  7     39      192           -66311.96984      -61058.13382    0.429672E-04    0.223788E-06
  7     40       96           -66311.93276      -61058.09673    0.131227E-04    0.136695E-06
  7     41      192           -66311.96916      -61058.13314    0.425834E-04    0.221789E-06
  7     42       96           -66311.96775      -61058.13172    0.208939E-04    0.217644E-06
  7     43       96           -66311.96666      -61058.13063    0.205936E-04    0.214516E-06
  7     44       96           -66311.99143      -61058.15541    0.286257E-04    0.298185E-06
  7     45       96           -66311.96841      -61058.13239    0.210794E-04    0.219577E-06
  7     46      192           -66311.97714      -61058.14112    0.473462E-04    0.246595E-06
  7     47      192           -66311.96119      -61058.12517    0.383012E-04    0.199486E-06
  7     48      192           -66311.99185      -61058.15582    0.575689E-04    0.299838E-06
  7     49      192           -66311.99770      -61058.16168    0.622267E-04    0.324097E-06
  7     50      192           -66311.97840      -61058.14238    0.481478E-04    0.250770E-06
  7     51       48           -66311.98007      -61058.14405    0.123070E-04    0.256395E-06
  7     52       96           -66311.96713      -61058.13111    0.207246E-04    0.215881E-06
  7     53       48           -66311.91035      -61058.07432    0.487111E-05    0.101481E-06
  7     54       96           -66311.93432      -61058.09829    0.133982E-04    0.139565E-06
  7     55      192           -66311.93864      -61058.10262    0.283810E-04    0.147818E-06
  7     56      192           -66311.94337      -61058.10734    0.302211E-04    0.157402E-06
  7     57       32           -66311.93053      -61058.09451    0.424676E-05    0.132711E-06
  7     58       96           -66311.95366      -61058.11764    0.173266E-04    0.180485E-06
  7     59       96           -66311.95312      -61058.11710    0.172026E-04    0.179194E-06
  7     60      192           -66311.96400      -61058.12798    0.397600E-04    0.207083E-06
  7     61       96           -66311.96270      -61058.12668    0.195397E-04    0.203538E-06
  7     62       16           -66311.93216      -61058.09614    0.216995E-05    0.135622E-06
  7     63       96           -66311.99363      -61058.15760    0.294736E-04    0.307017E-06
  7     64      192           -66312.02416      -61058.18813    0.884516E-04    0.460685E-06
  7     65      192           -66312.00195      -61058.16592    0.658416E-04    0.342925E-06
  7     66      192           -66312.02133      -61058.18531    0.851962E-04    0.443730E-06
  7     67      192           -66312.01008      -61058.17405    0.733548E-04    0.382056E-06
  7     68       64           -66311.99630      -61058.16028    0.203612E-04    0.318143E-06
  7     69       96           -66312.02607      -61058.19005    0.453666E-04    0.472569E-06
  7     70      192           -66312.01215      -61058.17612    0.754022E-04    0.392720E-06
  7     71      192           -66312.02303      -61058.18701    0.871364E-04    0.453835E-06
  7     72       96           -66311.98848      -61058.15246    0.275257E-04    0.286726E-06
  7     73      192           -66312.02080      -61058.18478    0.845959E-04    0.440603E-06
  7     74       96           -66311.98403      -61058.14800    0.259429E-04    0.270239E-06
  7     75       96           -66312.03621      -61058.20019    0.519142E-04    0.540772E-06
  7     76      192           -66311.98906      -61058.15303    0.554737E-04    0.288926E-06
  7     77       96           -66311.99918      -61058.16315    0.317303E-04    0.330523E-06
  7     78       96           -66311.95201      -61058.11598    0.169496E-04    0.176558E-06
  7     79       96           -66311.97882      -61058.14280    0.242087E-04    0.252174E-06
  7     80       48           -66311.97449      -61058.13846    0.114264E-04    0.238050E-06
  7     81       32           -66312.00074      -61058.16472    0.107991E-04    0.337471E-06
  7     82       16           -66312.07070      -61058.23468    0.136842E-04    0.855264E-06
  8      1       48           -67062.37149      -61057.98746    0.153524E-05    0.319842E-07
  8      2       96           -67062.33935      -61057.95533    0.200306E-05    0.208652E-07
  8      3      192           -67062.38655      -61058.00252    0.750241E-05    0.390750E-07
  8      4      192           -67062.36876      -61057.98473    0.592204E-05    0.308439E-07
  8      5      192           -67062.39867      -61058.01464    0.881356E-05    0.459039E-07
  8      6      192           -67062.39225      -61058.00822    0.809262E-05    0.421490E-07
  8      7       96           -67062.35957      -61057.97554    0.262059E-05    0.272978E-07
  8      8      192           -67062.33768      -61057.95365    0.391806E-05    0.204066E-07
  8      9      192           -67062.35671      -61057.97269    0.504607E-05    0.262816E-07
  8     10       96           -67062.36931      -61057.98528    0.298275E-05    0.310703E-07
  8     11      192           -67062.37592      -61057.99190    0.651397E-05    0.339269E-07
  8     12      192           -67062.37400      -61057.98998    0.634983E-05    0.330720E-07
  8     13       48           -67062.32089      -61057.93686    0.783570E-06    0.163244E-07
  8     14      192           -67062.34967      -61057.96564    0.459510E-05    0.239328E-07
  8     15      192           -67062.34013      -61057.95610    0.404776E-05    0.210821E-07
  8     16      192           -67062.35628      -61057.97225    0.501691E-05    0.261297E-07
  8     17      192           -67062.36970      -61057.98567    0.599666E-05    0.312326E-07
  8     18      192           -67062.36911      -61057.98508    0.594989E-05    0.309890E-07
  8     19       96           -67062.36918      -61057.98516    0.297783E-05    0.310191E-07
  8     20       96           -67062.38028      -61057.99625    0.345114E-05    0.359494E-07
  8     21       96           -67062.35428      -61057.97026    0.244281E-05    0.254459E-07
  8     22      192           -67062.36855      -61057.98452    0.590545E-05    0.307576E-07
  8     23      192           -67062.39009      -61058.00606    0.786367E-05    0.409566E-07
  8     24       96           -67062.37760      -61057.99357    0.333027E-05    0.346903E-07
  8     25       48           -67062.40669      -61058.02267    0.245143E-05    0.510714E-07
  8     26       96           -67062.38834      -61058.00431    0.384132E-05    0.400138E-07
  8     27       12           -67062.33386      -61057.94983    0.232758E-06    0.193965E-07
  8     28       96           -67062.36664      -61057.98261    0.287893E-05    0.299889E-07
  8     29       96           -67062.36557      -61057.98154    0.283805E-05    0.295630E-07
  8     30       96           -67062.38265      -61057.99862    0.356145E-05    0.370985E-07
  8     31      192           -67062.37600      -61057.99197    0.652064E-05    0.339617E-07
  8     32      192           -67062.40881      -61058.02478    0.100853E-04    0.525276E-07
  8     33      192           -67062.39069      -61058.00666    0.792674E-05    0.412851E-07
  8     34      192           -67062.39482      -61058.01079    0.837397E-05    0.436144E-07
  8     35      192           -67062.39888      -61058.01485    0.883831E-05    0.460329E-07
  8     36       48           -67062.38652      -61058.00249    0.187470E-05    0.390563E-07
  8     37       48           -67062.41005      -61058.02603    0.256340E-05    0.534041E-07
  8     38      192           -67062.33684      -61057.95282    0.387476E-05    0.201811E-07
  8     39      192           -67062.34865      -61057.96463    0.453346E-05    0.236117E-07
  8     40      192           -67062.35818      -61057.97416    0.514564E-05    0.268002E-07
  8     41       24           -67062.32830      -61057.94427    0.432334E-06    0.180139E-07
  8     42      192           -67062.35732      -61057.97330    0.508709E-05    0.264952E-07
  8     43       96           -67062.36696      -61057.98293    0.289101E-05    0.301147E-07
  8     44       96           -67062.37934      -61057.99532    0.340842E-05    0.355044E-07
  8     45       48           -67062.35793      -61057.97391    0.128214E-05    0.267113E-07
  8     46       96           -67062.36611      -61057.98208    0.285853E-05    0.297764E-07
  8     47      192           -67062.37410      -61057.99007    0.635802E-05    0.331147E-07
  8     48      192           -67062.38632      -61058.00230    0.747970E-05    0.389568E-07
  8     49      192           -67062.36835      -61057.98433    0.589032E-05    0.306788E-07
  8     50       48           -67062.36430      -61057.98028    0.139545E-05    0.290720E-07
  8     51       96           -67062.35851      -61057.97448    0.258389E-05    0.269155E-07
  8     52      192           -67062.41745      -61058.03342    0.113124E-04    0.589188E-07
  8     53      192           -67062.39766      -61058.01363    0.869625E-05    0.452930E-07
  8     54      192           -67062.42900      -61058.04497    0.131896E-04    0.686960E-07
  8     55       48           -67062.40622      -61058.02220    0.243619E-05    0.507540E-07
  8     56      192           -67062.41988      -61058.03585    0.116839E-04    0.608539E-07
  8     57      192           -67062.41906      -61058.03503    0.115579E-04    0.601974E-07
  8     58       96           -67062.42897      -61058.04494    0.659254E-05    0.686723E-07
  8     59      192           -67062.42367      -61058.03965    0.122890E-04    0.640050E-07
  8     60      192           -67062.43777      -61058.05375    0.148222E-04    0.771991E-07
  8     61      192           -67062.40146      -61058.01743    0.914680E-05    0.476396E-07
  8     62      192           -67062.43244      -61058.04842    0.138082E-04    0.719179E-07
  8     63      192           -67062.44145      -61058.05743    0.155651E-04    0.810683E-07
  8     64      192           -67062.39707      -61058.01304    0.862820E-05    0.449386E-07
  8     65       96           -67062.40749      -61058.02346    0.495481E-05    0.516126E-07
  8     66      192           -67062.42128      -61058.03725    0.119040E-04    0.620003E-07
  8     67      192           -67062.40120      -61058.01718    0.911549E-05    0.474765E-07
  8     68       96           -67062.35701      -61057.97298    0.253292E-05    0.263845E-07
  8     69       96           -67062.35604      -61057.97201    0.250047E-05    0.260465E-07
  8     70      192           -67062.37643      -61057.99240    0.655776E-05    0.341550E-07
  8     71       96           -67062.37170      -61057.98767    0.307915E-05    0.320745E-07
  8     72       96           -67062.39875      -61058.01473    0.441182E-05    0.459565E-07
  8     73      192           -67062.40666      -61058.02263    0.980115E-05    0.510477E-07
  8     74       96           -67062.41114      -61058.02712    0.520155E-05    0.541828E-07
  8     75       96           -67062.42871      -61058.04469    0.657006E-05    0.684381E-07
  8     76       24           -67062.40570      -61058.02167    0.120961E-05    0.504004E-07
  8     77       96           -67062.36628      -61057.98226    0.286526E-05    0.298465E-07
  8     78       96           -67062.36486      -61057.98084    0.281176E-05    0.292892E-07
  8     79       48           -67062.36441      -61057.98038    0.139742E-05    0.291130E-07
  8     80      192           -67062.39150      -61058.00748    0.801276E-05    0.417331E-07
  8     81      192           -67062.37530      -61057.99127    0.646008E-05    0.336462E-07
  8     82       96           -67062.41244      -61058.02841    0.529173E-05    0.551221E-07
  8     83       96           -67062.39691      -61058.01289    0.430516E-05    0.448455E-07
  8     84      192           -67062.42530      -61058.04127    0.125566E-04    0.653991E-07
  8     85      192           -67062.44172      -61058.05769    0.156194E-04    0.813511E-07
  8     86      192           -67062.41863      -61058.03460    0.114917E-04    0.598527E-07
  8     87       96           -67062.42418      -61058.04015    0.618587E-05    0.644361E-07
  8     88       96           -67062.41311      -61058.02908    0.533914E-05    0.556160E-07
  8     89      192           -67062.44060      -61058.05658    0.153898E-04    0.801553E-07
  8     90       48           -67062.41450      -61058.03047    0.271946E-05    0.566554E-07
  8     91       96           -67062.44096      -61058.05693    0.773162E-05    0.805377E-07
  8     92       48           -67062.47212      -61058.08809    0.584966E-05    0.121868E-06
  8     93       96           -67062.46959      -61058.08556    0.113117E-04    0.117830E-06
  8     94        6           -67062.34545      -61057.96142    0.135754E-06    0.226257E-07
  8     95       24           -67062.40391      -61058.01989    0.118123E-05    0.492179E-07
  8     96       48           -67062.45068      -61058.06666    0.439923E-05    0.916506E-07
  8     97       12           -67062.47861      -61058.09458    0.159409E-05    0.132841E-06
  9      1       16           -67812.76296      -61057.83093    0.638841E-07    0.399276E-08
  9      2       96           -67812.80679      -61057.87476    0.686465E-06    0.715068E-08
  9      3      192           -67812.77905      -61057.84702    0.949413E-06    0.494486E-08
  9      4      192           -67812.76004      -61057.82801    0.737502E-06    0.384116E-08
  9      5      192           -67812.79110      -61057.85907    0.111436E-05    0.580395E-08
  9      6      192           -67812.77669      -61057.84466    0.920189E-06    0.479265E-08
  9      7      192           -67812.78688      -61057.85485    0.105367E-05    0.548785E-08
  9      8      192           -67812.80827      -61057.87624    0.140006E-05    0.729197E-08
  9      9       96           -67812.81566      -61057.88363    0.772296E-06    0.804475E-08
  9     10       64           -67812.80977      -61057.87774    0.476097E-06    0.743902E-08
  9     11      192           -67812.79968      -61057.86765    0.124898E-05    0.650512E-08
  9     12       32           -67812.75844      -61057.82641    0.120318E-06    0.375993E-08
  9     13       96           -67812.76132      -61057.82929    0.375049E-06    0.390676E-08
  9     14      192           -67812.80434      -61057.87231    0.132880E-05    0.692081E-08
  9     15       96           -67812.81421      -61057.88218    0.757553E-06    0.789118E-08
  9     16       96           -67812.82611      -61057.89408    0.887442E-06    0.924419E-08
  9     17       96           -67812.75873      -61057.82670    0.362362E-06    0.377460E-08
  9     18       96           -67812.75730      -61057.82527    0.355562E-06    0.370377E-08
  9     19       96           -67812.77566      -61057.84364    0.453850E-06    0.472761E-08
  9     20       96           -67812.76941      -61057.83738    0.417663E-06    0.435066E-08
  9     21      192           -67812.79488      -61057.86285    0.117180E-05    0.610311E-08
  9     22      192           -67812.77850      -61057.84647    0.942509E-06    0.490890E-08
  9     23      192           -67812.78810      -61057.85607    0.107087E-05    0.557742E-08
  9     24      192           -67812.78696      -61057.85493    0.105473E-05    0.549340E-08
  9     25       48           -67812.77802      -61057.84599    0.234147E-06    0.487807E-08
  9     26       48           -67812.79165      -61057.85962    0.280634E-06    0.584654E-08
  9     27      192           -67812.81861      -61057.88658    0.160643E-05    0.836681E-08
  9     28      192           -67812.83925      -61057.90723    0.211370E-05    0.110089E-07
  9     29      192           -67812.83586      -61057.90383    0.202046E-05    0.105232E-07
  9     30       96           -67812.84881      -61057.91678    0.119998E-05    0.124998E-07
  9     31      192           -67812.84179      -61057.90976    0.218614E-05    0.113861E-07
  9     32      192           -67812.83873      -61057.90670    0.209911E-05    0.109329E-07
  9     33      192           -67812.81791      -61057.88588    0.159147E-05    0.828888E-08
  9     34       96           -67812.75800      -61057.82597    0.358843E-06    0.373795E-08
  9     35       96           -67812.77649      -61057.84447    0.458885E-06    0.478005E-08
  9     36      192           -67812.79496      -61057.86294    0.117317E-05    0.611025E-08
  9     37       96           -67812.78896      -61057.85693    0.541596E-06    0.564162E-08
  9     38      192           -67812.82654      -61057.89451    0.178511E-05    0.929742E-08
  9     39      192           -67812.80576      -61057.87373    0.135421E-05    0.705316E-08
  9     40       96           -67812.80616      -61057.87413    0.680686E-06    0.709048E-08
  9     41      192           -67812.82791      -61057.89588    0.181777E-05    0.946753E-08
  9     42       96           -67812.81007      -61057.87804    0.716990E-06    0.746865E-08
  9     43       96           -67812.84600      -61057.91397    0.115602E-05    0.120418E-07
  9     44       96           -67812.80759      -61057.87556    0.693739E-06    0.722645E-08
  9     45      192           -67812.78858      -61057.85655    0.107776E-05    0.561335E-08
  9     46      192           -67812.78535      -61057.85332    0.103240E-05    0.537708E-08
  9     47       96           -67812.80144      -61057.86941    0.639299E-06    0.665937E-08
  9     48      192           -67812.82713      -61057.89510    0.179899E-05    0.936975E-08
  9     49      192           -67812.79552      -61057.86349    0.118181E-05    0.615525E-08
  9     50      192           -67812.83546      -61057.90343    0.200983E-05    0.104678E-07
  9     51      192           -67812.81585      -61057.88382    0.154858E-05    0.806552E-08
  9     52      192           -67812.84622      -61057.91419    0.231880E-05    0.120771E-07
  9     53      192           -67812.85684      -61057.92481    0.267023E-05    0.139075E-07
  9     54       96           -67812.81905      -61057.88702    0.807947E-06    0.841612E-08
  9     55      192           -67812.82744      -61057.89541    0.180640E-05    0.940832E-08
  9     56      192           -67812.84162      -61057.90959    0.218112E-05    0.113600E-07
  9     57      192           -67812.85615      -61057.92412    0.264603E-05    0.137814E-07
  9     58       96           -67812.81278      -61057.88075    0.743299E-06    0.774270E-08
  9     59      192           -67812.86009      -61057.92806    0.278816E-05    0.145216E-07
  9     60      192           -67812.83829      -61057.90626    0.208668E-05    0.108681E-07
  9     61      192           -67812.84829      -61057.91626    0.238349E-05    0.124140E-07
  9     62      192           -67812.80518      -61057.87315    0.134377E-05    0.699880E-08
  9     63      192           -67812.85725      -61057.92522    0.268490E-05    0.139838E-07
  9     64       96           -67812.81455      -61057.88252    0.761035E-06    0.792745E-08
  9     65       96           -67812.79692      -61057.86489    0.601995E-06    0.627079E-08
  9     66      192           -67812.81048      -61057.87846    0.144197E-05    0.751026E-08
  9     67      192           -67812.83063      -61057.89860    0.188474E-05    0.981637E-08
  9     68      192           -67812.82720      -61057.89517    0.180072E-05    0.937873E-08
  9     69       48           -67812.87338      -61057.94136    0.831791E-06    0.173290E-07
  9     70       96           -67812.87207      -61057.94004    0.163465E-05    0.170276E-07
  9     71      192           -67812.88936      -61057.95733    0.411436E-05    0.214290E-07
  9     72       96           -67812.86915      -61057.93712    0.157254E-05    0.163806E-07
  9     73       48           -67812.77518      -61057.84315    0.225452E-06    0.469691E-08
  9     74       96           -67812.80572      -61057.87369    0.676743E-06    0.704941E-08
  9     75       96           -67812.84596      -61057.91393    0.115534E-05    0.120348E-07
  9     76      192           -67812.86070      -61057.92867    0.281078E-05    0.146395E-07
  9     77       96           -67812.85495      -61057.92292    0.130204E-05    0.135630E-07
  9     78       48           -67812.87663      -61057.94460    0.868420E-06    0.180921E-07
  9     79       96           -67812.89835      -61057.96632    0.231834E-05    0.241494E-07
  9     80       32           -67812.80120      -61057.86917    0.212429E-06    0.663842E-08
  9     81       96           -67812.89119      -61057.95916    0.210775E-05    0.219558E-07
  9     82       16           -67812.84558      -61057.91355    0.191591E-06    0.119745E-07
 10      1       96           -68563.19951      -61057.71947    0.871250E-07    0.907552E-09
 10      2      192           -68563.22623      -61057.74620    0.248570E-06    0.129464E-08
 10      3       96           -68563.19852      -61057.71849    0.859928E-07    0.895759E-09
 10      4       96           -68563.19838      -61057.71835    0.858318E-07    0.894081E-09
 10      5       48           -68563.21124      -61057.73121    0.509158E-07    0.106075E-08
 10      6       48           -68563.24170      -61057.76167    0.763312E-07    0.159023E-08
 10      7      192           -68563.19709      -61057.71705    0.168734E-06    0.878822E-09
 10      8       96           -68563.20784      -61057.72781    0.973317E-07    0.101387E-08
 10      9       96           -68563.21364      -61057.73361    0.105135E-06    0.109516E-08
 10     10      192           -68563.25766      -61057.77763    0.377494E-06    0.196611E-08
 10     11       96           -68563.19797      -61057.71794    0.853608E-07    0.889175E-09
 10     12      192           -68563.22825      -61057.74822    0.255338E-06    0.132989E-08
 10     13       96           -68563.24672      -61057.76668    0.163184E-06    0.169983E-08
 10     14      192           -68563.24614      -61057.76611    0.323874E-06    0.168685E-08
 10     15       96           -68563.22693      -61057.74690    0.125450E-06    0.130677E-08
 10     16      192           -68563.22335      -61057.74332    0.239237E-06    0.124603E-08
 10     17      192           -68563.25546      -61057.77543    0.366614E-06    0.190945E-08
 10     18      192           -68563.25561      -61057.77557    0.367302E-06    0.191303E-08
 10     19      192           -68563.25470      -61057.77467    0.362924E-06    0.189023E-08
 10     20      192           -68563.26407      -61057.78403    0.411030E-06    0.214078E-08
 10     21      192           -68563.27507      -61057.79504    0.475766E-06    0.247795E-08
 10     22      192           -68563.27252      -61057.79249    0.459934E-06    0.239549E-08
 10     23      192           -68563.23484      -61057.75480    0.278692E-06    0.145152E-08
 10     24      192           -68563.19848      -61057.71845    0.171890E-06    0.895259E-09
 10     25       96           -68563.19666      -61057.71662    0.838861E-07    0.873813E-09
 10     26       96           -68563.23259      -61057.75256    0.135246E-06    0.140881E-08
 10     27      192           -68563.22735      -61057.74731    0.252278E-06    0.131395E-08
 10     28       64           -68563.25601      -61057.77597    0.123088E-06    0.192325E-08
 10     29      192           -68563.24584      -61057.76581    0.322585E-06    0.168013E-08
 10     30      192           -68563.22906      -61057.74903    0.258089E-06    0.134421E-08
 10     31      192           -68563.24792      -61057.76789    0.331629E-06    0.172723E-08
 10     32      192           -68563.24485      -61057.76482    0.318389E-06    0.165828E-08
 10     33      192           -68563.26372      -61057.78369    0.409128E-06    0.213087E-08
 10     34       96           -68563.22979      -61057.74976    0.130311E-06    0.135741E-08
 10     35       48           -68563.20800      -61057.72797    0.487708E-07    0.101606E-08
 10     36      192           -68563.24395      -61057.76392    0.314594E-06    0.163851E-08
 10     37       48           -68563.20696      -61057.72693    0.480986E-07    0.100205E-08
 10     38      192           -68563.28889      -61057.80885    0.571671E-06    0.297745E-08
 10     39      192           -68563.28843      -61057.80840    0.568254E-06    0.295966E-08
 10     40       96           -68563.29626      -61057.81622    0.315256E-06    0.328391E-08
 10     41       96           -68563.29383      -61057.81380    0.305268E-06    0.317987E-08
 10     42       32           -68563.25704      -61057.77701    0.623942E-07    0.194982E-08
 10     43       16           -68563.27082      -61057.79079    0.374694E-07    0.234184E-08
 10     44       48           -68563.20535      -61057.72532    0.470796E-07    0.980825E-09
 10     45      192           -68563.25355      -61057.77352    0.357404E-06    0.186148E-08
 10     46       48           -68563.24488      -61057.76485    0.796259E-07    0.165887E-08
 10     47      192           -68563.27231      -61057.79227    0.458591E-06    0.238849E-08
 10     48      192           -68563.25558      -61057.77554    0.367150E-06    0.191224E-08
 10     49       48           -68563.21547      -61057.73543    0.538571E-07    0.112202E-08
 10     50       48           -68563.26774      -61057.78770    0.107895E-06    0.224781E-08
 10     51      192           -68563.29441      -61057.81438    0.615244E-06    0.320440E-08
 10     52      192           -68563.30566      -61057.82562    0.714419E-06    0.372093E-08
 10     53       24           -68563.22534      -61057.74531    0.307050E-07    0.127938E-08
 10     54       96           -68563.30286      -61057.82283    0.344177E-06    0.358518E-08
 10     55       96           -68563.21527      -61057.73524    0.107437E-06    0.111913E-08
 10     56       32           -68563.24851      -61057.76848    0.557096E-07    0.174093E-08
 10     57       96           -68563.26640      -61057.78637    0.211991E-06    0.220824E-08
 10     58       48           -68563.30263      -61057.82260    0.171570E-06    0.357437E-08
 10     59       96           -68563.30455      -61057.82452    0.352010E-06    0.366677E-08
 10     60       96           -68563.30780      -61057.82777    0.367556E-06    0.382870E-08
 10     61       16           -68563.23690      -61057.75687    0.238697E-07    0.149186E-08
 10     62       96           -68563.29162      -61057.81158    0.296407E-06    0.308757E-08
 10     63       48           -68563.30391      -61057.82388    0.174509E-06    0.363561E-08
 10     64       96           -68563.29514      -61057.81511    0.310626E-06    0.323569E-08
 10     65       48           -68563.32761      -61057.84758    0.239129E-06    0.498185E-08
 11      1       96           -69313.62809      -61057.60006    0.178139E-07    0.185562E-09
 11      2       48           -69313.62715      -61057.59912    0.879613E-08    0.183253E-09
 11      3       96           -69313.65893      -61057.63089    0.268395E-07    0.279578E-09
 11      4      192           -69313.68541      -61057.65737    0.763258E-07    0.397530E-09
 11      5       96           -69313.62681      -61057.59878    0.175134E-07    0.182431E-09
 11      6      192           -69313.65819      -61057.63016    0.531557E-07    0.276852E-09
 11      7      192           -69313.65744      -61057.62941    0.526284E-07    0.274106E-09
 11      8      192           -69313.65830      -61057.63026    0.532285E-07    0.277232E-09
 11      9      192           -69313.67591      -61057.64787    0.672667E-07    0.350347E-09
 11     10      192           -69313.65793      -61057.62990    0.529716E-07    0.275894E-09
 11     11       96           -69313.63928      -61057.61125    0.206703E-07    0.215316E-09
 11     12       96           -69313.70426      -61057.67622    0.490300E-07    0.510729E-09
 11     13      192           -69313.70946      -61057.68142    0.105075E-06    0.547265E-09
 11     14       96           -69313.68995      -61057.66191    0.405364E-07    0.422254E-09
 11     15       96           -69313.70310      -61057.67507    0.482823E-07    0.502941E-09
 11     16      192           -69313.66833      -61057.64029    0.608192E-07    0.316767E-09
 11     17      192           -69313.70143      -61057.67340    0.944408E-07    0.491879E-09
 11     18       48           -69313.70704      -61057.67900    0.254362E-07    0.529920E-09
 11     19      192           -69313.71851      -61057.69047    0.118509E-06    0.617233E-09
 11     20       48           -69313.64847      -61057.62044    0.116781E-07    0.243293E-09
 11     21       96           -69313.66195      -61057.63391    0.279374E-07    0.291014E-09
 11     22       48           -69313.62968      -61057.60164    0.909674E-08    0.189515E-09
 11     23      192           -69313.67752      -61057.64949    0.687282E-07    0.357959E-09
 11     24       96           -69313.68931      -61057.66127    0.401930E-07    0.418677E-09
 11     25       96           -69313.71057      -61057.68253    0.533163E-07    0.555378E-09
 11     26      192           -69313.71815      -61057.69011    0.117940E-06    0.614270E-09
 11     27       96           -69313.68511      -61057.65707    0.380095E-07    0.395933E-09
 11     28       96           -69313.71676      -61057.68873    0.578942E-07    0.603064E-09
 11     29       96           -69313.73547      -61057.70744    0.742405E-07    0.773338E-09
 11     30       96           -69313.68841      -61057.66038    0.397166E-07    0.413714E-09
 11     31       96           -69313.73744      -61057.70940    0.762062E-07    0.793814E-09
 11     32      192           -69313.74174      -61057.71370    0.161374E-06    0.840487E-09
 11     33       96           -69313.72588      -61057.69784    0.653497E-07    0.680726E-09
 11     34       48           -69313.73495      -61057.70691    0.368631E-07    0.767980E-09
 11     35       96           -69313.72839      -61057.70036    0.675749E-07    0.703905E-09
 12      1        8           -70064.06517      -61057.48913    0.339788E-09    0.424735E-10
 12      2      192           -70064.09310      -61057.51706    0.118209E-07    0.615673E-10
 12      3       96           -70064.12351      -61057.54747    0.885499E-08    0.922395E-10
