        T             E               F          S             
     300.0     -62559.9295     -62560.0792  0.499103E-03
     873.0     -62559.9267     -62560.3680  0.505565E-03
    1273.0     -62559.9263     -62560.5703  0.505931E-03
    1673.0     -62559.9261     -62560.7727  0.506063E-03
  Infinite     -62559.9255         -        0.519481E-03
