
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43977067318383      eV
 Composition: x =   0.25000000001650230     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  5     14       96           -64811.09885      -61058.90000    0.429064E-03    0.446942E-05
  5     15       96           -64811.10455      -61058.90570    0.534845E-03    0.557130E-05
  5     16      192           -64811.12491      -61058.92606    0.235130E-02    0.122463E-04
  5     17      192           -64811.13724      -61058.93839    0.378872E-02    0.197329E-04
  5     18      192           -64811.14338      -61058.94453    0.480404E-02    0.250210E-04
  5     19      192           -64811.14607      -61058.94722    0.533085E-02    0.277648E-04
  5     20      192           -64811.15355      -61058.95470    0.711958E-02    0.370812E-04
  5     21       96           -64811.14266      -61058.94381    0.233595E-02    0.243328E-04
  5     22       96           -64811.16473      -61058.96587    0.548495E-02    0.571349E-04
  5     23      192           -64811.12660      -61058.92775    0.251033E-02    0.130747E-04
  5     24      192           -64811.13486      -61058.93601    0.345576E-02    0.179988E-04
  5     25      192           -64811.15418      -61058.95533    0.729465E-02    0.379930E-04
  5     26      192           -64811.14948      -61058.95063    0.608202E-02    0.316772E-04
  5     27       96           -64811.13234      -61058.93349    0.156722E-02    0.163252E-04
  5     28       96           -64811.14099      -61058.94214    0.219008E-02    0.228133E-04
  5     29       96           -64811.10918      -61058.91033    0.639821E-03    0.666481E-05
  5     30       48           -64811.11499      -61058.91614    0.400527E-03    0.834432E-05
  5     31       48           -64811.12250      -61058.92364    0.535461E-03    0.111554E-04
  5     32       96           -64811.15092      -61058.95207    0.321546E-02    0.334943E-04
  5     33       96           -64811.15329      -61058.95444    0.352444E-02    0.367129E-04
  5     34       48           -64811.17400      -61058.97514    0.392529E-02    0.817769E-04
  5     35       96           -64811.20776      -61059.00891    0.289786E-01    0.301861E-03
  6      1       48           -65561.52021      -61058.88158    0.105234E-03    0.219238E-05
  6      2       96           -65561.51663      -61058.87801    0.183286E-03    0.190923E-05
  6      3       96           -65561.53725      -61058.89862    0.406814E-03    0.423764E-05
  6      4       96           -65561.55042      -61058.91179    0.677135E-03    0.705349E-05
  6      5      192           -65561.54507      -61058.90645    0.110128E-02    0.573581E-05
  6      6      192           -65561.52659      -61058.88797    0.538865E-03    0.280659E-05
  6      7      192           -65561.55623      -61058.91760    0.169541E-02    0.883027E-05
  6      8       16           -65561.58156      -61058.94294    0.376432E-03    0.235270E-04
  6      9       48           -65561.53048      -61058.89185    0.156549E-03    0.326145E-05
  6     10      192           -65561.50648      -61058.86785    0.247493E-03    0.128903E-05
  6     11       96           -65561.50926      -61058.87063    0.137785E-03    0.143526E-05
  6     12       32           -65561.53261      -61058.89399    0.113360E-03    0.354250E-05
  6     13      192           -65561.53638      -61058.89775    0.786732E-03    0.409756E-05
  6     14      192           -65561.55508      -61058.91645    0.162177E-02    0.844672E-05
  6     15      192           -65561.56568      -61058.92705    0.244387E-02    0.127285E-04
  6     16      192           -65561.52769      -61058.88907    0.562223E-03    0.292824E-05
  6     17      192           -65561.54578      -61058.90715    0.113163E-02    0.589393E-05
  6     18       64           -65561.54481      -61058.90618    0.363377E-03    0.567776E-05
  6     19      192           -65561.55339      -61058.91477    0.151956E-02    0.791435E-05
  6     20       96           -65561.56876      -61058.93013    0.137649E-02    0.143384E-04
  6     21      192           -65561.56988      -61058.93126    0.287532E-02    0.149756E-04
  6     22      192           -65561.54427      -61058.90564    0.106743E-02    0.555953E-05
  6     23      192           -65561.55311      -61058.91448    0.150284E-02    0.782728E-05
  6     24      192           -65561.57385      -61058.93522    0.335193E-02    0.174580E-04
  6     25      192           -65561.56475      -61058.92613    0.235761E-02    0.122792E-04
  6     26       96           -65561.58096      -61058.94234    0.220711E-02    0.229908E-04
  6     27      192           -65561.56031      -61058.92169    0.198564E-02    0.103419E-04
  6     28       96           -65561.53571      -61058.89709    0.383406E-03    0.399381E-05
  6     29      192           -65561.55869      -61058.92006    0.186481E-02    0.971256E-05
  6     30      192           -65561.55524      -61058.91662    0.163203E-02    0.850015E-05
  6     31      192           -65561.55868      -61058.92005    0.186395E-02    0.970805E-05
  6     32      192           -65561.56461      -61058.92598    0.234479E-02    0.122124E-04
  6     33       48           -65561.50632      -61058.86769    0.614820E-04    0.128087E-05
  6     34      192           -65561.52438      -61058.88576    0.494637E-03    0.257623E-05
  6     35       32           -65561.54198      -61058.90336    0.162880E-03    0.509001E-05
  6     36      192           -65561.51409      -61058.87547    0.332217E-03    0.173030E-05
  6     37       48           -65561.51811      -61058.87948    0.970200E-04    0.202125E-05
  6     38       96           -65561.51989      -61058.88126    0.207871E-03    0.216532E-05
  6     39       96           -65561.51745      -61058.87883    0.189193E-03    0.197076E-05
  6     40       96           -65561.52718      -61058.88856    0.275610E-03    0.287093E-05
  6     41       48           -65561.51654      -61058.87792    0.913245E-04    0.190259E-05
  6     42      192           -65561.54816      -61058.90954    0.124110E-02    0.646405E-05
  6     43       24           -65561.51377      -61058.87515    0.410195E-04    0.170914E-05
  6     44       96           -65561.52518      -61058.88655    0.255081E-03    0.265710E-05
  6     45      192           -65561.54372      -61058.90509    0.104504E-02    0.544292E-05
  6     46      192           -65561.55012      -61058.91149    0.133859E-02    0.697184E-05
  6     47       96           -65561.54490      -61058.90628    0.547050E-03    0.569844E-05
  6     48       96           -65561.55341      -61058.91479    0.760277E-03    0.791956E-05
  6     49       96           -65561.57079      -61058.93217    0.148905E-02    0.155109E-04
  6     50       48           -65561.53532      -61058.89669    0.188789E-03    0.393310E-05
  6     51       96           -65561.57028      -61058.93166    0.146019E-02    0.152103E-04
  6     52      192           -65561.57470      -61058.93607    0.346384E-02    0.180408E-04
  6     53       96           -65561.57929      -61058.94067    0.206905E-02    0.215526E-04
  6     54       48           -65561.57496      -61058.93634    0.874881E-03    0.182267E-04
  6     55      192           -65561.56311      -61058.92449    0.221286E-02    0.115253E-04
  6     56       96           -65561.57904      -61058.94042    0.204913E-02    0.213451E-04
  6     57       16           -65561.54741      -61058.90879    0.100460E-03    0.627873E-05
  6     58       48           -65561.51364      -61058.87502    0.816211E-04    0.170044E-05
  6     59       48           -65561.55833      -61058.91970    0.459738E-03    0.957787E-05
  6     60       96           -65561.60610      -61058.96748    0.583567E-02    0.607882E-04
  6     61      192           -65561.59742      -61058.95879    0.834135E-02    0.434445E-04
  6     62       96           -65561.62828      -61058.98966    0.137641E-01    0.143376E-03
  6     63       96           -65561.60348      -61058.96485    0.527262E-02    0.549231E-04
  6     64       48           -65561.61413      -61058.97551    0.398085E-02    0.829343E-04
  6     65       48           -65561.59121      -61058.95258    0.164003E-02    0.341674E-04
  7      1      192           -66311.94451      -61058.86612    0.231386E-03    0.120514E-05
  7      2       48           -66311.97842      -61058.90003    0.214778E-03    0.447455E-05
  7      3       96           -66311.94963      -61058.87124    0.141060E-03    0.146938E-05
  7      4       96           -66311.91560      -61058.83721    0.378145E-04    0.393901E-06
  7      5       48           -66311.91094      -61058.83254    0.157849E-04    0.328853E-06
  7      6       96           -66311.93192      -61058.85353    0.710922E-04    0.740544E-06
  7      7       96           -66311.96458      -61058.88619    0.251479E-03    0.261958E-05
  7      8      192           -66311.94323      -61058.86484    0.220226E-03    0.114701E-05
  7      9      192           -66311.96152      -61058.88313    0.446779E-03    0.232698E-05
  7     10      192           -66311.97454      -61058.89614    0.739269E-03    0.385036E-05
  7     11      192           -66311.98827      -61058.90988    0.125745E-02    0.654920E-05
  7     12      192           -66311.96920      -61058.89081    0.601421E-03    0.313240E-05
  7     13      192           -66311.97897      -61058.90058    0.877485E-03    0.457024E-05
  7     14      192           -66311.95455      -61058.87615    0.341129E-03    0.177671E-05
  7     15      192           -66311.94879      -61058.87039    0.273037E-03    0.142207E-05
  7     16      192           -66311.97501      -61058.89662    0.752861E-03    0.392115E-05
  7     17      192           -66311.97941      -61058.90101    0.892479E-03    0.464833E-05
  7     18      192           -66311.97931      -61058.90091    0.888930E-03    0.462984E-05
  7     19       96           -66311.98554      -61058.90715    0.565759E-03    0.589332E-05
  7     20       96           -66311.97225      -61058.89386    0.338366E-03    0.352464E-05
  7     21      192           -66311.93300      -61058.85460    0.148239E-03    0.772077E-06
  7     22      192           -66311.95195      -61058.87355    0.308525E-03    0.160690E-05
  7     23       96           -66311.91308      -61058.83469    0.343011E-04    0.357303E-06
  7     24       96           -66311.92432      -61058.84593    0.529844E-04    0.551921E-06
  7     25      192           -66311.93376      -61058.85537    0.152697E-03    0.795296E-06
  7     26      192           -66311.94964      -61058.87124    0.282131E-03    0.146943E-05
  7     27      192           -66311.95674      -61058.87835    0.371358E-03    0.193416E-05
  7     28      192           -66311.94869      -61058.87030    0.272015E-03    0.141674E-05
  7     29       96           -66311.96376      -61058.88537    0.243637E-03    0.253789E-05
  7     30      192           -66311.92504      -61058.84664    0.108953E-03    0.567464E-06
  7     31       96           -66311.92608      -61058.84768    0.567062E-04    0.590689E-06
  7     32      192           -66311.94219      -61058.86380    0.211550E-03    0.110183E-05
  7     33      192           -66311.95534      -61058.87695    0.351782E-03    0.183220E-05
  7     34      192           -66311.93241      -61058.85401    0.144894E-03    0.754656E-06
  7     35      192           -66311.94584      -61058.86745    0.243602E-03    0.126876E-05
  7     36      192           -66311.96232      -61058.88392    0.460750E-03    0.239974E-05
  7     37      192           -66311.94051      -61058.86212    0.198232E-03    0.103246E-05
  7     38       96           -66311.94944      -61058.87105    0.140016E-03    0.145850E-05
  7     39      192           -66311.96984      -61058.89144    0.616376E-03    0.321029E-05
  7     40       96           -66311.93276      -61058.85436    0.734231E-04    0.764824E-06
  7     41      192           -66311.96916      -61058.89077    0.600491E-03    0.312756E-05
  7     42       96           -66311.96775      -61058.88935    0.284209E-03    0.296051E-05
  7     43       96           -66311.96666      -61058.88826    0.272486E-03    0.283839E-05
  7     44       96           -66311.99143      -61058.91304    0.710469E-03    0.740072E-05
  7     45       96           -66311.96841      -61058.89002    0.291615E-03    0.303766E-05
  7     46      192           -66311.97714      -61058.89875    0.817518E-03    0.425791E-05
  7     47      192           -66311.96119      -61058.88280    0.441129E-03    0.229755E-05
  7     48      192           -66311.99185      -61058.91345    0.144399E-02    0.752077E-05
  7     49      192           -66311.99770      -61058.91931    0.181088E-02    0.943167E-05
  7     50      192           -66311.97840      -61058.90001    0.858449E-03    0.447109E-05
  7     51       48           -66311.98007      -61058.90168    0.228925E-03    0.476926E-05
  7     52       96           -66311.96713      -61058.88874    0.277560E-03    0.289125E-05
  7     53       48           -66311.91035      -61058.83195    0.154294E-04    0.321445E-06
  7     54       96           -66311.93432      -61058.85592    0.779991E-04    0.812491E-06
  7     55      192           -66311.93864      -61058.86025    0.184385E-03    0.960340E-06
  7     56      192           -66311.94337      -61058.86497    0.221370E-03    0.115297E-05
  7     57       32           -66311.93053      -61058.85214    0.224560E-04    0.701751E-06
  7     58       96           -66311.95366      -61058.87527    0.164831E-03    0.171698E-05
  7     59       96           -66311.95312      -61058.87473    0.161423E-03    0.168149E-05
  7     60      192           -66311.96400      -61058.88561    0.491819E-03    0.256156E-05
  7     61       96           -66311.96270      -61058.88431    0.233859E-03    0.243603E-05
  7     62       16           -66311.93216      -61058.85377    0.119597E-04    0.747480E-06
  7     63       96           -66311.99363      -61058.91523    0.773457E-03    0.805685E-05
  7     64      192           -66312.02416      -61058.94576    0.503884E-02    0.262440E-04
  7     65      192           -66312.00195      -61058.92355    0.213429E-02    0.111161E-04
  7     66      192           -66312.02133      -61058.94294    0.451793E-02    0.235309E-04
  7     67      192           -66312.01008      -61058.93168    0.292290E-02    0.152234E-04
  7     68       64           -66311.99630      -61058.91791    0.571918E-03    0.893621E-05
  7     69       96           -66312.02607      -61058.94768    0.271324E-02    0.282629E-04
  7     70      192           -66312.01215      -61058.93375    0.316669E-02    0.164932E-04
  7     71      192           -66312.02303      -61058.94463    0.482390E-02    0.251245E-04
  7     72       96           -66311.98848      -61058.91009    0.633900E-03    0.660313E-05
  7     73      192           -66312.02080      -61058.94241    0.442591E-02    0.230516E-04
  7     74       96           -66311.98403      -61058.90563    0.533557E-03    0.555788E-05
  7     75       96           -66312.03621      -61058.95782    0.401667E-02    0.418403E-04
  7     76      192           -66311.98906      -61058.91066    0.129632E-02    0.675164E-05
  7     77       96           -66311.99918      -61058.92078    0.958677E-03    0.998622E-05
  7     78       96           -66311.95201      -61058.87361    0.154609E-03    0.161051E-05
  7     79       96           -66311.97882      -61058.90043    0.436255E-03    0.454432E-05
  7     80       48           -66311.97449      -61058.89609    0.184446E-03    0.384262E-05
  7     81       32           -66312.00074      -61058.92235    0.339502E-03    0.106094E-04
  7     82       16           -66312.07070      -61058.99231    0.254129E-02    0.158830E-03
  8      1       48           -67062.37149      -61058.85332    0.352658E-04    0.734704E-06
  8      2       96           -67062.33935      -61058.82119    0.203488E-04    0.211967E-06
  8      3      192           -67062.38655      -61058.86839    0.252626E-03    0.131576E-05
  8      4      192           -67062.36876      -61058.85059    0.126921E-03    0.661049E-06
  8      5      192           -67062.39867      -61058.88050    0.403677E-03    0.210248E-05
  8      6      192           -67062.39225      -61058.87408    0.314907E-03    0.164014E-05
  8      7       96           -67062.35957      -61058.84140    0.444788E-04    0.463321E-06
  8      8      192           -67062.33768      -61058.81951    0.381489E-04    0.198692E-06
  8      9      192           -67062.35671      -61058.83855    0.796597E-04    0.414894E-06
  8     10       96           -67062.36931      -61058.85114    0.648253E-04    0.675264E-06
  8     11      192           -67062.37592      -61058.85776    0.167469E-03    0.872236E-06
  8     12      192           -67062.37400      -61058.85584    0.155482E-03    0.809803E-06
  8     13       48           -67062.32089      -61058.80272    0.498133E-05    0.103778E-06
  8     14      192           -67062.34967      -61058.83151    0.606626E-04    0.315951E-06
  8     15      192           -67062.34013      -61058.82196    0.419411E-04    0.218443E-06
  8     16      192           -67062.35628      -61058.83811    0.783274E-04    0.407955E-06
  8     17      192           -67062.36970      -61058.85153    0.131631E-03    0.685581E-06
  8     18      192           -67062.36911      -61058.85094    0.128666E-03    0.670137E-06
  8     19       96           -67062.36918      -61058.85102    0.645151E-04    0.672032E-06
  8     20       96           -67062.38028      -61058.86211    0.991021E-04    0.103231E-05
  8     21       96           -67062.35428      -61058.83612    0.362551E-04    0.377658E-06
  8     22      192           -67062.36855      -61058.85038    0.125890E-03    0.655676E-06
  8     23      192           -67062.39009      -61058.87192    0.289677E-03    0.150873E-05
  8     24       96           -67062.37760      -61058.85943    0.893361E-04    0.930585E-06
  8     25       48           -67062.40669      -61058.88853    0.137654E-03    0.286779E-05
  8     26       96           -67062.38834      -61058.87017    0.135348E-03    0.140987E-05
  8     27       12           -67062.33386      -61058.81570    0.205686E-05    0.171405E-06
  8     28       96           -67062.36664      -61058.84848    0.584756E-04    0.609121E-06
  8     29       96           -67062.36557      -61058.84740    0.560917E-04    0.584288E-06
  8     30       96           -67062.38265      -61058.86448    0.108604E-03    0.113129E-05
  8     31      192           -67062.37600      -61058.85783    0.167969E-03    0.874838E-06
  8     32      192           -67062.40881      -61058.89064    0.597556E-03    0.311227E-05
  8     33      192           -67062.39069      -61058.87252    0.296490E-03    0.154422E-05
  8     34      192           -67062.39482      -61058.87665    0.347835E-03    0.181164E-05
  8     35      192           -67062.39888      -61058.88071    0.406985E-03    0.211971E-05
  8     36       48           -67062.38652      -61058.86835    0.630685E-04    0.131393E-05
  8     37       48           -67062.41005      -61058.89189    0.156759E-03    0.326582E-05
  8     38      192           -67062.33684      -61058.81868    0.369349E-04    0.192369E-06
  8     39      192           -67062.34865      -61058.83049    0.583248E-04    0.303775E-06
  8     40      192           -67062.35818      -61058.84002    0.843205E-04    0.439169E-06
  8     41       24           -67062.32830      -61058.81013    0.331727E-05    0.138220E-06
  8     42      192           -67062.35732      -61058.83916    0.815585E-04    0.424784E-06
  8     43       96           -67062.36696      -61058.84879    0.591924E-04    0.616588E-06
  8     44       96           -67062.37934      -61058.86118    0.955744E-04    0.995567E-06
  8     45       48           -67062.35793      -61058.83977    0.208773E-04    0.434943E-06
  8     46       96           -67062.36611      -61058.84794    0.572779E-04    0.596645E-06
  8     47      192           -67062.37410      -61058.85593    0.156067E-03    0.812847E-06
  8     48      192           -67062.38632      -61058.86816    0.250407E-03    0.130421E-05
  8     49      192           -67062.36835      -61058.85019    0.124953E-03    0.650799E-06
  8     50       48           -67062.36430      -61058.84614    0.267117E-04    0.556494E-06
  8     51       96           -67062.35851      -61058.84034    0.426903E-04    0.444691E-06
  8     52      192           -67062.41745      -61058.89928    0.834623E-03    0.434699E-05
  8     53      192           -67062.39766      -61058.87949    0.388240E-03    0.202208E-05
  8     54      192           -67062.42900      -61058.91083    0.130473E-02    0.679548E-05
  8     55       48           -67062.40622      -61058.88806    0.135179E-03    0.281623E-05
  8     56      192           -67062.41988      -61058.90171    0.916915E-03    0.477560E-05
  8     57      192           -67062.41906      -61058.90090    0.888426E-03    0.462722E-05
  8     58       96           -67062.42897      -61058.91080    0.651711E-03    0.678865E-05
  8     59      192           -67062.42367      -61058.90551    0.106202E-02    0.553136E-05
  8     60      192           -67062.43777      -61058.91961    0.183232E-02    0.954335E-05
  8     61      192           -67062.40146      -61058.88329    0.449715E-03    0.234227E-05
  8     62      192           -67062.43244      -61058.91428    0.149089E-02    0.776505E-05
  8     63      192           -67062.44145      -61058.92329    0.211255E-02    0.110029E-04
  8     64      192           -67062.39707      -61058.87890    0.379465E-03    0.197638E-05
  8     65       96           -67062.40749      -61058.88932    0.283883E-03    0.295712E-05
  8     66      192           -67062.42128      -61058.90312    0.968089E-03    0.504213E-05
  8     67      192           -67062.40120      -61058.88304    0.445249E-03    0.231901E-05
  8     68       96           -67062.35701      -61058.83884    0.402854E-04    0.419639E-06
  8     69       96           -67062.35604      -61058.83787    0.388018E-04    0.404186E-06
  8     70      192           -67062.37643      -61058.85826    0.170766E-03    0.889407E-06
  8     71       96           -67062.37170      -61058.85353    0.711124E-04    0.740754E-06
  8     72       96           -67062.39875      -61058.88059    0.202511E-03    0.210949E-05
  8     73      192           -67062.40666      -61058.88849    0.549870E-03    0.286391E-05
  8     74       96           -67062.41114      -61058.89298    0.327008E-03    0.340633E-05
  8     75       96           -67062.42871      -61058.91055    0.645264E-03    0.672150E-05
  8     76       24           -67062.40570      -61058.88753    0.662282E-04    0.275951E-05
  8     77       96           -67062.36628      -61058.84812    0.576714E-04    0.600744E-06
  8     78       96           -67062.36486      -61058.84670    0.545933E-04    0.568680E-06
  8     79       48           -67062.36441      -61058.84625    0.268214E-04    0.558780E-06
  8     80      192           -67062.39150      -61058.87334    0.305950E-03    0.159349E-05
  8     81      192           -67062.37530      -61058.85713    0.163469E-03    0.851401E-06
  8     82       96           -67062.41244      -61058.89427    0.343779E-03    0.358103E-05
  8     83       96           -67062.39691      -61058.87875    0.188591E-03    0.196449E-05
  8     84      192           -67062.42530      -61058.90713    0.113074E-02    0.588929E-05
  8     85      192           -67062.44172      -61058.92355    0.213407E-02    0.111149E-04
  8     86      192           -67062.41863      -61058.90046    0.873703E-03    0.455054E-05
  8     87       96           -67062.42418      -61058.90601    0.541485E-03    0.564047E-05
  8     88       96           -67062.41311      -61058.89494    0.352819E-03    0.367519E-05
  8     89      192           -67062.44060      -61058.92244    0.204406E-02    0.106461E-04
  8     90       48           -67062.41450      -61058.89633    0.186176E-03    0.387866E-05
  8     91       96           -67062.44096      -61058.92279    0.103628E-02    0.107946E-04
  8     92       48           -67062.47212      -61058.95396    0.172953E-02    0.360320E-04
  8     93       96           -67062.46959      -61058.95142    0.313598E-02    0.326664E-04
  8     94        6           -67062.34545      -61058.82728    0.160988E-05    0.268314E-06
  8     95       24           -67062.40391      -61058.88575    0.618072E-04    0.257530E-05
  8     96       48           -67062.45068      -61058.93252    0.754751E-03    0.157240E-04
  8     97       12           -67062.47861      -61058.96044    0.555686E-03    0.463071E-04
  9      1       16           -67812.76296      -61058.80502    0.181468E-05    0.113418E-06
  9      2       96           -67812.80679      -61058.84886    0.593468E-04    0.618196E-06
  9      3      192           -67812.77905      -61058.82111    0.405756E-04    0.211331E-06
  9      4      192           -67812.76004      -61058.80211    0.194564E-04    0.101335E-06
  9      5      192           -67812.79110      -61058.83316    0.646715E-04    0.336831E-06
  9      6      192           -67812.77669      -61058.81876    0.370470E-04    0.192953E-06
  9      7      192           -67812.78688      -61058.82895    0.549462E-04    0.286178E-06
  9      8      192           -67812.80827      -61058.85033    0.125648E-03    0.654417E-06
  9      9       96           -67812.81566      -61058.85772    0.836159E-04    0.870999E-06
  9     10       64           -67812.80977      -61058.85183    0.443881E-04    0.693565E-06
  9     11      192           -67812.79968      -61058.84174    0.901260E-04    0.469406E-06
  9     12       32           -67812.75844      -61058.80050    0.304718E-05    0.952244E-07
  9     13       96           -67812.76132      -61058.80338    0.102196E-04    0.106454E-06
  9     14      192           -67812.80434      -61058.84640    0.107928E-03    0.562126E-06
  9     15       96           -67812.81421      -61058.85627    0.790551E-04    0.823491E-06
  9     16       96           -67812.82611      -61058.86818    0.125293E-03    0.130513E-05
  9     17       96           -67812.75873      -61058.80079    0.924574E-05    0.963098E-07
  9     18       96           -67812.75730      -61058.79937    0.874989E-05    0.911447E-07
  9     19       96           -67812.77566      -61058.81773    0.178014E-04    0.185431E-06
  9     20       96           -67812.76941      -61058.81148    0.139779E-04    0.145603E-06
  9     21      192           -67812.79488      -61058.83694    0.748567E-04    0.389879E-06
  9     22      192           -67812.77850      -61058.82056    0.397230E-04    0.206891E-06
  9     23      192           -67812.78810      -61058.83016    0.575969E-04    0.299984E-06
  9     24      192           -67812.78696      -61058.82902    0.551080E-04    0.287021E-06
  9     25       48           -67812.77802      -61058.82009    0.975033E-05    0.203132E-06
  9     26       48           -67812.79165      -61058.83371    0.165155E-04    0.344073E-06
  9     27      192           -67812.81861      -61058.86067    0.187468E-03    0.976396E-06
  9     28      192           -67812.83925      -61058.88132    0.416627E-03    0.216993E-05
  9     29      192           -67812.83586      -61058.87792    0.365368E-03    0.190296E-05
  9     30       96           -67812.84881      -61058.89087    0.301463E-03    0.314024E-05
  9     31      192           -67812.84179      -61058.88385    0.459551E-03    0.239350E-05
  9     32      192           -67812.83873      -61058.88080    0.408315E-03    0.212664E-05
  9     33      192           -67812.81791      -61058.85997    0.182432E-03    0.950166E-06
  9     34       96           -67812.75800      -61058.80006    0.898692E-05    0.936137E-07
  9     35       96           -67812.77649      -61058.81856    0.183822E-04    0.191481E-06
  9     36      192           -67812.79496      -61058.83703    0.751119E-04    0.391208E-06
  9     37       96           -67812.78896      -61058.83103    0.297737E-04    0.310143E-06
  9     38      192           -67812.82654      -61058.86861    0.254808E-03    0.132712E-05
  9     39      192           -67812.80576      -61058.84782    0.114044E-03    0.593981E-06
  9     40       96           -67812.80616      -61058.84822    0.579046E-04    0.603173E-06
  9     41      192           -67812.82791      -61058.86997    0.268613E-03    0.139902E-05
  9     42       96           -67812.81007      -61058.85213    0.673568E-04    0.701633E-06
  9     43       96           -67812.84600      -61058.88807    0.270435E-03    0.281703E-05
  9     44       96           -67812.80759      -61058.84965    0.611955E-04    0.637453E-06
  9     45      192           -67812.78858      -61058.83065    0.586831E-04    0.305641E-06
  9     46      192           -67812.78535      -61058.82741    0.517806E-04    0.269691E-06
  9     47       96           -67812.80144      -61058.84350    0.482433E-04    0.502535E-06
  9     48      192           -67812.82713      -61058.86919    0.260619E-03    0.135739E-05
  9     49      192           -67812.79552      -61058.83758    0.767330E-04    0.399651E-06
  9     50      192           -67812.83546      -61058.87753    0.359800E-03    0.187396E-05
  9     51      192           -67812.81585      -61058.85791    0.168492E-03    0.877560E-06
  9     52      192           -67812.84622      -61058.88829    0.545492E-03    0.284110E-05
  9     53      192           -67812.85684      -61058.89890    0.822487E-03    0.428378E-05
  9     54       96           -67812.81905      -61058.86112    0.953504E-04    0.993233E-06
  9     55      192           -67812.82744      -61058.86950    0.263753E-03    0.137371E-05
  9     56      192           -67812.84162      -61058.88368    0.456486E-03    0.237753E-05
  9     57      192           -67812.85615      -61058.89822    0.800979E-03    0.417177E-05
