        T             E               F          S             
     300.0     -64060.7561     -64060.9775  0.738093E-03
     873.0     -64060.7414     -64061.4154  0.772033E-03
    1273.0     -64060.7395     -64061.7246  0.773854E-03
    1673.0     -64060.7386     -64062.0343  0.774498E-03
  Infinite     -64060.7359         -        0.775333E-03
