        T             E               F          S             
       1.0     -64060.8094     -64060.8096  0.179193E-03
     300.0     -64060.7425     -64060.9286  0.620473E-03
    1000.0     -64060.7317     -64061.3770  0.645287E-03
  Infinite     -64060.7286         -        0.646869E-03
